species,product,food_type,pack_size,ean,wms_code,image_scope,local_image,image_url,source_page,declared_dimensions,declared_dpi,image_label,file_bytes,sha256,status
cat,2016 - FBN - Dry - Cat - SIAMESE Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550710701,2602100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-siamese-adult-zone-europe-standard-perfect-product-page-master-c77925012a.png,https://cdn.royalcanin-weshare-online.io/amm2rWsBG95Xk-RBkPub/v405/fbn2016-packshot-siamese,https://www.royalcanin.com/uk/cats/products/retail-products/siamese-adult-2551,2480x3508,300,FBN2016_PACKSHOT_SIAMESE,1832433,c77925012ae516a4c3cf69a8e63195243b56e17b7ad665a685aa928f6c17ddb3,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR 27 - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550704625,2452020,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-27-zone-europe-standard-perfect-product-page-master-f668b168c0.jpg,https://marspetcareaprimocdn.petcare.global/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-27-2529,,,16-INDOOR 27-B1-NE,369239,f668b168c04d2b7b70c909d9fecbb8483fe458b48586062ebf9cec51d0402f43,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR 27 - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550706933,2452040,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-27-zone-europe-standard-perfect-product-page-master-f668b168c0.jpg,https://marspetcareaprimocdn.petcare.global/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-27-2529,,,16-INDOOR 27-B1-NE,369239,f668b168c04d2b7b70c909d9fecbb8483fe458b48586062ebf9cec51d0402f43,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR 27 - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550706940,2452100,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-27-zone-europe-standard-perfect-product-page-master-f668b168c0.jpg,https://marspetcareaprimocdn.petcare.global/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-27-2529,,,16-INDOOR 27-B1-NE,369239,f668b168c04d2b7b70c909d9fecbb8483fe458b48586062ebf9cec51d0402f43,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR 7+ - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,1.5 kg,3182550784399,2454015,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-7-zone-europe-standard-perfect-product-page-master-0d571bb04f.jpg,https://marspetcareaprimocdn.petcare.global/217ab462-5989-477b-b75f-b3790079354a/217ab462-5989-477b-b75f-b3790079354a_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-7%2b-2548,,,16-INDOOR 7+ -B1-IN,372475,0d571bb04f6b39dc9136285f646817c80947034eededb8f8574f257cc85b4514,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR 7+ - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,3.5 kg,3182550784412,2454035,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-7-zone-europe-standard-perfect-product-page-master-0d571bb04f.jpg,https://marspetcareaprimocdn.petcare.global/217ab462-5989-477b-b75f-b3790079354a/217ab462-5989-477b-b75f-b3790079354a_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-7%2b-2548,,,16-INDOOR 7+ -B1-IN,372475,0d571bb04f6b39dc9136285f646817c80947034eededb8f8574f257cc85b4514,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR APPETITE CONTROL - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550832076,2708020,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-appetite-control-zone-europe-standard-perfect-product-page-master-fbb70f22cb.jpg,https://marspetcareaprimocdn.petcare.global/c4ab9ecd-9538-4345-8158-b42700c874a6/c4ab9ecd-9538-4345-8158-b42700c874a6_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-appetite-control-2568,,,16-INDOOR APPETITE CONTROL-B1-IN,375237,fbb70f22cbf1a28ce6c43cf90ae397d9519305485d346e71134cb43b8074911b,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR APPETITE CONTROL - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550832083,2708040,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-appetite-control-zone-europe-standard-perfect-product-page-master-fbb70f22cb.jpg,https://marspetcareaprimocdn.petcare.global/c4ab9ecd-9538-4345-8158-b42700c874a6/c4ab9ecd-9538-4345-8158-b42700c874a6_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-appetite-control-2568,,,16-INDOOR APPETITE CONTROL-B1-IN,375237,fbb70f22cbf1a28ce6c43cf90ae397d9519305485d346e71134cb43b8074911b,downloaded
cat,2016 - FHN - DRY - Cat - OUTDOOR - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550707374,2502020,shared official master across listed weights,images/cat/2016-fhn-dry-cat-outdoor-zone-europe-standard-perfect-product-page-master-fdd43dc0bf.png,https://cdn.royalcanin-weshare-online.io/QyEua2QBaxEApS7LkPuL/v380/16-outdoor-b1-ne,https://www.royalcanin.com/uk/cats/products/retail-products/outdoor-2546,2480x3508,300,16-OUTDOOR-B1-NE,617428,fdd43dc0bff678138a2da4570a329913b37d0c8d1b671242304da5060cefc974,downloaded
cat,2016 - FHN - DRY - Cat - OUTDOOR - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550707381,2502040,shared official master across listed weights,images/cat/2016-fhn-dry-cat-outdoor-zone-europe-standard-perfect-product-page-master-fdd43dc0bf.png,https://cdn.royalcanin-weshare-online.io/QyEua2QBaxEApS7LkPuL/v380/16-outdoor-b1-ne,https://www.royalcanin.com/uk/cats/products/retail-products/outdoor-2546,2480x3508,300,16-OUTDOOR-B1-NE,617428,fdd43dc0bff678138a2da4570a329913b37d0c8d1b671242304da5060cefc974,downloaded
